VF	Shortbred VF family	Description
191	Victors|gi|15801852|ref|NP_287870_1|	 putative ATP-binding component of a transport system [Escherichia coli O157:H7 str. EDL933]
192	Victors|gi|15801901|ref|NP_287921_1|	 aconitate hydratase [Escherichia coli O157:H7 str. EDL933]
193	Victors|gi|15801917|ref|NP_287938_1|	 tryptophan synthase subunit beta [Escherichia coli O157:H7 str. EDL933]
194	Victors|gi|15802086|ref|NP_288108_1|	 hypothetical protein Z2702 [Escherichia coli O157:H7 str. EDL933]
195	Victors|gi|15802133|ref|NP_288155_1|	 hypothetical protein Z2751 [Escherichia coli O157:H7 str. EDL933]
196	Victors|gi|15802236|ref|NP_288259_1|_Victors|gi|16765178|ref|NP_460793_1|	NA
197	Victors|gi|15802351|ref|NP_288377_1|	 DNA-binding transcriptional activator SdiA [Escherichia coli O157:H7 str. EDL933]
198	Victors|gi|15802403|ref|NP_288429_1|	 hypothetical protein Z3062 [Escherichia coli O157:H7 str. EDL933]
199	Victors|gi|15802700|ref|NP_288727_1|	 hypothetical protein Z3399 [Escherichia coli O157:H7 str. EDL933]
200	Victors|gi|15802705|ref|NP_288732_1|	 galactose/methyl galaxtoside transporter ATP-binding protein [Escherichia coli O157:H7 str. EDL933]
201	Victors|gi|15802913|ref|NP_288940_1|	 hybrid sensory histidine kinase in two-component regulatory system with EvgA [Escherichia coli O157:H7 str. EDL933]
202	Victors|gi|15802914|ref|NP_288942_1|	 putative transporter YfdV [Escherichia coli O157:H7 str. EDL933]
203	Victors|gi|15803110|ref|NP_289141_1|	 thioredoxin 2 [Escherichia coli O157:H7 str. EDL933]
204	Victors|gi|15803368|ref|NP_289401_1|	 hypothetical protein Z4168 [Escherichia coli O157:H7 str. EDL933]
205	Victors|gi|15803448|ref|NP_289481_1|	 D-3-phosphoglycerate dehydrogenase [Escherichia coli O157:H7 str. EDL933]
206	Victors|gi|15803476|ref|NP_289509_1|	 hypothetical protein Z4282 [Escherichia coli O157:H7 str. EDL933]
207	Victors|gi|15803477|ref|NP_289510_1|	 arginine decarboxylase [Escherichia coli O157:H7 str. EDL933]
208	Victors|gi|15803532|ref|NP_289565_1|	 partial putative transport protein [Escherichia coli O157:H7 str. EDL933]
209	Victors|gi|15803653|ref|NP_289686_1|	 formate acetyltransferase 3 [Escherichia coli O157:H7 str. EDL933]
210	Victors|gi|15803678|ref|NP_289711_1|	 PTS system N-acetylgalactosamine-specific transporter subunit IIB [Escherichia coli O157:H7 str. EDL933]
211	Victors|gi|15803817|ref|NP_289851_1|	 potassium transporter peripheral membrane component [Escherichia coli O157:H7 str. EDL933]
212	Victors|gi|15804072|ref|NP_290108_1|	 C4-dicarboxylate transporter DctA [Escherichia coli O157:H7 str. EDL933]
213	Victors|gi|15804159|ref|NP_290198_1|	 glycosyl transferase [Escherichia coli O157:H7 str. EDL933]
214	Victors|gi|15804359|ref|NP_290399_1|	 acetolactate synthase 2 catalytic subunit [Escherichia coli O157:H7 str. EDL933]
215	Victors|gi|15804737|ref|NP_290778_1|	 hypothetical protein Z5750 [Escherichia coli O157:H7 str. EDL933]
216	Victors|gi|15804828|ref|NP_290869_1|	 anaerobic ribonucleoside triphosphate reductase [Escherichia coli O157:H7 str. EDL933]
217	Victors|gi|15900408|ref|NP_345012_1|	 CTP synthetase [Streptococcus pneumoniae TIGR4]
218	Victors|gi|15901955|ref|NP_346559_1|	 ROK family protein [Streptococcus pneumoniae TIGR4]
219	Victors|gi|16128026|ref|NP_414573_1|	 carbamoyl phosphate synthetase small subunit, glutamine amidotransferase [Escherichia coli str. K-12 substr. MG1655]
220	Victors|gi|16131529|ref|NP_418115_1|	 predicted sugar efflux system [Escherichia coli str. K-12 substr. MG1655]
221	Victors|gi|16131653|ref|NP_418245_1|_Victors|gi|170083285|ref|YP_001732605_1|	NA
222	Victors|gi|161367545|ref|NP_289117_2|	 DNA-binding transcriptional regulator [Escherichia coli O157:H7 str. EDL933]
223	Victors|gi|161486057|ref|NP_756506_2|	 transcriptional regulator PhoU [Escherichia coli CFT073]
224	Victors|gi|162419719|ref|YP_001606992_1|	 major outer membrane lipoprotein [Yersinia pestis Angola]
225	Victors|gi|165977084|ref|YP_001652677_1|	 F0F1 ATP synthase subunit alpha [Actinobacillus pleuropneumoniae serovar 3 str. JL03]
226	Victors|gi|16759305|ref|NP_454922_1|_Victors|gi|16763693|ref|NP_459308_1|	NA
227	Victors|gi|16763338|ref|NP_458955_1|	 carbon starvation protein [Salmonella enterica subsp. enterica serovar Typhi str. CT18]
228	Victors|gi|16763829|ref|NP_459444_1|	 ATP-dependent Clp protease proteolytic subunit [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
229	Victors|gi|16763955|ref|NP_459570_1|	 nitroreductase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
230	Victors|gi|16763977|ref|NP_459592_1|	 carbon starvation protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
231	Victors|gi|16764006|ref|NP_459621_1|	 RNA chaperone [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
232	Victors|gi|16764663|ref|NP_460278_1|	 PTS system N,N'-diacetylchitobiose-specific transporter subunit IIB [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
233	Victors|gi|16764667|ref|NP_460282_1|	 phospho-beta-glucosidase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
234	Victors|gi|16764908|ref|NP_460523_1|	 biofilm-dependent modulation protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
235	Victors|gi|16765235|ref|NP_460850_1|	 zinc ABC transporter permease ZnuB [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
236	Victors|gi|16765428|ref|NP_461043_1|	 UTP--glucose-1-phosphate uridylyltransferase subunit GalF [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
237	Victors|gi|16766107|ref|NP_461722_1|	 transporter [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
238	Victors|gi|16766320|ref|NP_461935_1|	 4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
239	Victors|gi|16766637|ref|NP_462252_1|	 stringent starvation protein A [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
240	Victors|gi|16766744|ref|NP_462359_1|	 FKBP-type peptidyl-prolyl cis-trans isomerase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
241	Victors|gi|16766754|ref|NP_462369_1|	 cAMP-activated global transcriptional regulator [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
242	Victors|gi|16766958|ref|NP_462573_1|	 periplasmic dicarboxylate-binding protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
243	Victors|gi|16767324|ref|NP_462939_1|	 two-component sensor protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
244	Victors|gi|16767407|ref|NP_463022_1|	 DNA-directed RNA polymerase subunit beta [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
245	Victors|gi|16767432|ref|NP_463047_1|	 homoserine O-succinyltransferase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
246	Victors|gi|16767593|ref|NP_463208_1|	 lysyl-tRNA synthetase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
247	Victors|gi|169832484|ref|YP_001694209_1|_Victors|gi|116516216|ref|YP_816144_1|_Victors|gi|15902700|ref|NP_358250_1|_Victors|gi|15900641|ref|NP_345245_1|_Victors|gi|221231543|ref|YP_002510695_1|_Victors|gi|225860721|ref|YP_002742230_1|_Victor	NA
248	Victors|gi|170681207|ref|YP_001746187_1|	 periplasmic protein disulfide isomerase I [Escherichia coli SMS-3-5]
249	Victors|gi|170682425|ref|YP_001746174_1|	 transcriptional activator RfaH [Escherichia coli SMS-3-5]
250	Victors|gi|187732326|ref|YP_001878964_1|	 serine endoprotease [Shigella boydii CDC 3083-94]
251	Victors|gi|187732706|ref|YP_001882863_1|	 RNA-binding protein Hfq [Shigella boydii CDC 3083-94]
252	Victors|gi|187734090|ref|YP_001878980_1|	 periplasmic chaperone [Shigella boydii CDC 3083-94]
253	Victors|gi|187734140|ref|YP_001882862_1|	 tRNA delta(2)-isopentenylpyrophosphate transferase [Shigella boydii CDC 3083-94]
254	Victors|gi|190149299|ref|YP_001967824_1|	 peptide chain release factor 3 [Actinobacillus pleuropneumoniae serovar 7 str. AP76]
255	Victors|gi|205354363|ref|YP_002228164_1|	 DNA-binding transcriptional regulator CpxR [Salmonella enterica subsp. enterica serovar Gallinarum str. 287/91]
256	Victors|gi|221218625|ref|YP_002527583_1|_Victors|gi|253801054|ref|YP_003034055_1|	NA
257	Victors|gi|221231880|ref|YP_002511032_1|	 mutator MutX protein (7,8-dihydro-8-oxoguanine-triphosphatase) [Streptococcus pneumoniae ATCC 700669]
258	Victors|gi|228931267|ref|YP_194809_2|	 plasmid-partitioning protein SopA [Salmonella enterica subsp. enterica serovar Typhimurium]
259	Victors|gi|228960701|ref|NP_462709_3|	 heat shock protein IbpA [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
260	Victors|gi|24113046|ref|NP_707556_1|_Victors|gi|30063172|ref|NP_837343_1|_Victors|gi|82777132|ref|YP_403481_1|_Victors|gi|82543974|ref|YP_407921_1|_Victors|gi|74312017|ref|YP_310436_1|_Victors|gi|187733707|ref|YP_001880416_1|_Victors|gi|1108	NA
261	Victors|gi|24113718|ref|NP_708228_1|_Victors|gi|30063767|ref|NP_837938_1|	NA
262	Victors|gi|24114667|ref|NP_709177_1|_Victors|gi|30065313|ref|NP_839484_1|_Victors|gi|82778779|ref|YP_405128_1|_Victors|gi|82545759|ref|YP_409706_1|_Victors|gi|74313907|ref|YP_312326_1|_Victors|gi|110807236|ref|YP_690756_1|	NA
263	Victors|gi|24115078|ref|NP_709588_1|_Victors|gi|30064921|ref|NP_839092_1|	NA
264	Victors|gi|26246978|ref|NP_753018_1|	 outer membrane protein A [Escherichia coli CFT073]
265	Victors|gi|26250272|ref|NP_756312_1|	 UDP-galactose:(galactosyl) LPS alpha1,2-galactosyltransferase [Escherichia coli CFT073]
266	Victors|gi|267993263|gb|ACY88148_1|	 putative methyl-accepting chemotaxis protein [Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S]
267	Victors|gi|267995764|gb|ACY90649_1|	 aspartate-semialdehyde dehydrogenase [Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S]
268	Victors|gi|56479612|ref|NP_706093_2|_Victors|gi|30061705|ref|NP_835876_1|_Victors|gi|82775537|ref|YP_401884_1|_Victors|gi|82542745|ref|YP_406692_1|_Victors|gi|74310766|ref|YP_309185_1|_Victors|gi|187733763|ref|YP_001878948_1|_Victors|gi|1108	NA
269	Victors|gi|74311981|ref|YP_310400_1|	 3-dehydroquinate dehydratase [Shigella sonnei Ss046]
270	Victors|gi|82544646|ref|YP_408593_1|_Victors|gi|74311464|ref|YP_309883_1|_Victors|gi|187733570|ref|YP_001880897_1|	NA
271	Victors|gi|82546204|ref|YP_410151_1|	 serine/threonine protein kinase [Shigella boydii Sb227]
272	Victors|gi|82775458|ref|YP_401805_1|	 peptidyl-prolyl cis-trans isomerase SurA [Shigella dysenteriae Sd197]
