Sample	Bin	bin.quality.numeric	bin.quality.call	Completeness	Contamination	Strain.heterogeneity	lca_species	lca_level	lca_fraction	best_species	best_level	best_fraction	N50	Size.Mb	Coverage	# contigs (>= 0 bp)	Largest contig	Genes	tRNA	rna.16S	rna.23S	rna.5S
B13	29_sub	71.02	2) medium quality	81.07	2.01	66.67	Clostridium sp. CAG:413	species	0.993	Clostridium sp. CAG:413	species	0.993	3590	1.8	7.61	591	14616	1605	12	0	0	0
B13	41	62.41	2) medium quality	99.26	7.37	0	Bacteroides fragilis	species	0.664	Bacteroides fragilis	species	0.331	29413	7.55	19.53	556	179292	7012	77	0	0	1
B13	47	21.77	1) low quality	21.77	0	0	Life	life	0.663	Unclassified	Unclassified	0.399	2036	0.55	6.26	277	11857	369	5	0	0	0
B13	49	85.54	3) high quality Nayfach	93.94	1.68	0	Clostridium sp. CAG:138	species	0.994	Clostridium sp. CAG:138	species	0.994	75143	1.91	23.08	42	123273	1676	34	0	0	1
B13	6	55.33	2) medium quality	55.98	0.13	0	Bacteria	superkingdom	0.675	Unclassified	Unclassified	0.565	2391	1.76	7.25	802	11993	1439	16	0	0	0
B13	60	81.09	2) medium quality	83.79	0.54	50	Archaea	superkingdom	0.943	Candidatus Methanomethylophilus alvus	species	0.487	3006	1.36	7.01	532	12183	1576	26	1	1	1
B13	63	57.9	2) medium quality	65.45	1.51	0	Clostridiales bacterium	species	0.936	Clostridiales bacterium	species	0.936	2968	2.37	6.91	927	15219	2071	18	0	0	2
B13	64_sub	57.55	2) medium quality	75.7	3.63	16.67	Clostridiales	order	0.676	Unclassified	Unclassified	0.259	2345	1.54	6.31	723	8948	1306	12	0	0	1
B13	72	68.45	2) medium quality	77.4	1.79	25	Clostridiales bacterium	species	0.954	Clostridiales bacterium	species	0.954	3604	1.25	8.68	431	19977	1101	17	0	0	0
B13	8	-2.9	0) really bad	97.1	20	13.79	Bacteria	superkingdom	0.669	Unclassified	Unclassified	0.299	5110	3.26	10.37	806	45222	2719	38	1	0	0
B13	80_sub	47.3	2) medium quality	57.7	2.08	0	Bacteria	superkingdom	0.676	Unclassified	Unclassified	0.449	2381	1.14	6.79	523	9605	993	7	0	0	0
B13	bin.12_sub	65.66	2) medium quality	72.46	1.36	33.33	CLASSIFICATION ERROR	CLASSIFICATION ERROR	0.762	Unclassified	Unclassified	0.762	6558	1.65	10.27	289	22869	1342	15	0	0	0
B13	bin.15	97.96	3) high quality Nayfach	97.96	0	0	Akkermansia muciniphila	species	0.902	Akkermansia muciniphila	species	0.902	54342	2.64	17.66	75	138499	2230	45	0	0	0
B13	bin.2	91.57	3) high quality Nayfach	91.57	0	0	Clostridiales	order	0.691	Clostridiales bacterium	species	0.47	32513	0.85	21.8	41	100284	756	38	2	0	1
B13	bin.25_sub	98.39	3) high quality Nayfach	98.39	0	0	Christensenellaceae bacterium Phil1	species	1	Christensenellaceae bacterium Phil1	species	1	67211	2.09	28.43	68	199096	1930	43	0	0	0
B13	bin.31	87.63	2) medium quality	87.63	0	0	Proteobacteria	phylum	0.686	uncultured proteobacterium	species	0.448	12160	1.29	12.44	137	33633	1213	32	1	0	0
B13	bin.47	95.09	3) high quality Nayfach	95.09	0	0	Prevotella sp. CAG:873	species	1	Prevotella sp. CAG:873	species	1	54343	2.49	34.94	64	121740	2010	42	0	0	0
B13	bin.6	88.65	3) high quality Nayfach	94.6	1.19	0	Alistipes sp. CAG:514	species	0.872	Unclassified	Unclassified	0.456	136062	3.47	71.89	40	270009	2729	44	0	0	0
B13	maxbin.002_sub	73.34	2) medium quality	82.24	1.78	58.33	Prevotella	genus	0.721	Prevotella sp. AM23-5	species	0.406	13013	3.2	40.68	477	107725	2620	30	0	2	3
B13	maxbin.003	80.2	3) high quality Nayfach	91.95	2.35	50	Oscillibacter sp.	species	0.75	Oscillibacter sp.	species	0.75	27723	2.24	36.78	240	225089	2061	37	0	0	1
B13	maxbin.011	95.52	3) high quality Nayfach	97.27	0.35	0	Ruminococcaceae bacterium	species	0.908	Ruminococcaceae bacterium	species	0.908	85147	2.24	19.23	66	160000	2048	38	0	0	1
B13	maxbin.020	93.45	2) medium quality	98.55	1.02	41.18	Escherichia coli	species	0.943	Escherichia coli	species	0.943	10853	4.5	10.08	658	53118	4239	46	0	0	0
B13	unbinned	-37265.6	0) really bad	100	7473.12	2.76	Bacteria	superkingdom	0.662	Unclassified	Unclassified	0.361	1074	246.47	0	553596	275257	0	2115	58	70	94
B14	100	53.3	2) medium quality	61.75	1.69	40	Ruminococcaceae bacterium	species	0.858	Ruminococcaceae bacterium	species	0.858	2218	1.22	5.37	596	8278	1143	8	0	0	0
B14	13_sub	-29.76	0) really bad	59.79	17.91	56.56	Prevotella	genus	0.706	Prevotella copri	species	0.322	1761	2.95	7.6	1696	10319	2822	14	0	0	0
B14	16	42.4	2) medium quality	63.65	4.25	0	Sutterella	genus	0.695	Sutterella sp. UBA4713	species	0.321	1931	1.03	4.81	557	8612	1013	18	0	1	1
B14	24	66.14	2) medium quality	92.79	5.33	7.14	Clostridiales bacterium	species	0.68	Clostridiales bacterium	species	0.413	10639	2.34	10.04	297	44001	2113	28	0	0	0
B14	33	75.55	2) medium quality	83.6	1.61	0	Life	life	0.672	Unclassified	Unclassified	0.327	5075	2.16	8.44	541	23898	1760	17	0	0	0
B14	37	80.74	2) medium quality	90.84	2.02	0	Clostridiales	order	0.661	uncultured Clostridiales bacterium	species	0.369	8106	1.95	7.64	333	35277	1915	26	0	0	0
B14	4	38.09	2) medium quality	76.24	7.63	0	Life	life	0.666	Unclassified	Unclassified	0.28	3203	1.86	5.61	673	13670	1748	27	0	0	1
B14	43	12.3	1) low quality	13.55	0.25	0	Life	life	0.673	Unclassified	Unclassified	0.325	1841	0.3	4.26	169	8003	231	10	0	0	0
B14	44	56.63	2) medium quality	71.73	3.02	0	Life	life	0.666	Unclassified	Unclassified	0.223	3277	1.82	6.29	637	11798	1651	24	0	0	1
B14	48	58.56	2) medium quality	60.56	0.4	100	Life	life	0.661	Unclassified	Unclassified	0.283	3188	0.68	5.85	245	17480	560	20	0	1	0
B14	5_sub	53.31	2) medium quality	78.16	4.97	14.29	Methanomassiliicoccales archaeon Mx-06	species	0.843	Methanomassiliicoccales archaeon Mx-06	species	0.843	2474	1.53	6.02	688	9457	1777	36	0	0	0
B14	50	70.25	2) medium quality	83.8	2.71	0	Clostridiales	order	0.694	uncultured Clostridiales bacterium	species	0.526	5902	2.9	7.74	607	26238	2686	35	0	0	0
B14	6_sub	14.79	1) low quality	35.19	4.08	6.25	CLASSIFICATION ERROR	CLASSIFICATION ERROR	0.74	Unclassified	Unclassified	0.74	1627	0.64	4.82	385	6992	563	35	1	1	1
B14	74_sub	-164.29	0) really bad	97.86	52.43	2.79	Bacteria	superkingdom	0.666	Parabacteroides sp.	species	0.214	6361	7.39	10.05	1395	88396	6870	99	0	0	1
B14	78	46.54	2) medium quality	71.89	5.07	0	Life	life	0.674	Unclassified	Unclassified	0.25	2296	3.2	5.84	1509	11987	2868	34	0	0	0
B14	98	88.81	2) medium quality	88.81	0	0	Ruminococcus sp. CAG:724	species	0.993	Ruminococcus sp. CAG:724	species	0.993	44742	1.8	17.53	83	136736	1607	37	0	0	0
B14	bin.10	92.16	3) high quality Nayfach	96.21	0.81	0	Clostridium leptum CAG:27	species	0.703	Unclassified	Unclassified	0.603	101341	2.1	33	36	309039	1979	38	0	0	0
B14	bin.12	60.62	2) medium quality	69.57	1.79	40	Ruminococcaceae bacterium	species	0.932	Ruminococcaceae bacterium	species	0.932	8047	1.32	8.37	198	28780	1193	29	0	0	0
B14	bin.13	89.9	2) medium quality	89.9	0	0	Ruminococcaceae bacterium	species	0.917	Ruminococcaceae bacterium	species	0.917	19487	1.75	12.75	119	71049	1654	35	0	0	2
B14	bin.17	97.96	3) high quality Nayfach	97.96	0	0	Akkermansia muciniphila	species	0.976	Akkermansia muciniphila	species	0.976	63943	2.71	17.44	70	187379	2336	46	0	0	0
B14	bin.25	84.46	3) high quality Nayfach	94.11	1.93	20	Bacteroides sp. CAG:709	species	0.77	Unclassified	Unclassified	0.527	25651	2.7	10.37	146	118553	2089	37	0	0	0
B14	bin.26	75.07	2) medium quality	88.37	2.66	18.18	Clostridiales	order	0.693	Ruminococcaceae bacterium	species	0.432	25300	2.45	12.56	188	86675	2223	39	1	0	1
B14	bin.27	91.24	3) high quality Nayfach	91.24	0	0	Christensenellaceae bacterium Phil1	species	0.966	Christensenellaceae bacterium Phil1	species	0.966	11860	1.8	17.3	191	38387	1669	23	0	0	0
B14	bin.29	96.75	3) high quality Nayfach	98.2	0.29	0	Succinatimonas	genus	0.951	Succinatimonas sp. UBA2849	species	0.566	34724	2.18	16.39	111	170640	1870	46	0	0	0
B14	bin.3	86.34	2) medium quality	89.84	0.7	0	Clostridiales bacterium	species	0.996	Clostridiales bacterium	species	0.996	18192	1.41	12.16	101	78731	1255	33	0	0	1
B14	bin.33	85.55	3) high quality Nayfach	93.75	1.64	0	Firmicutes bacterium CAG:534	species	0.977	Firmicutes bacterium CAG:534	species	0.977	16499	2.53	8.99	204	78844	2333	38	0	0	0
B14	bin.39	83.39	2) medium quality	83.39	0	0	Ruminococcaceae bacterium	species	0.904	Ruminococcaceae bacterium	species	0.904	85260	1.87	19.24	40	160474	1740	36	0	0	1
B14	bin.9	72.88	2) medium quality	83.53	2.13	25	Oscillibacter sp.	species	0.806	Oscillibacter sp.	species	0.806	14786	1.75	26.81	163	56857	1647	23	0	0	0
B14	maxbin.001	82.37	4) high quality Bowers	96.27	2.78	30	Alistipes sp. CAG:514	species	0.719	Alistipes sp. CAG:514	species	0.719	87056	3.37	77.86	228	299275	2702	54	5	14	4
B14	maxbin.002	97.05	3) high quality Nayfach	97.05	0	0	Clostridium sp. CAG:413	species	0.989	Clostridium sp. CAG:413	species	0.989	304367	2.29	40.18	35	395379	2011	38	0	0	1
B14	maxbin.030_sub	59.05	2) medium quality	68.55	1.9	0	Clostridiales	order	0.679	Ruminococcaceae bacterium	species	0.266	3465	1.04	6.33	371	13712	891	5	0	0	1
B14	unbinned	-31556.95	0) really bad	100	6331.39	2.83	Bacteria	superkingdom	0.665	Unclassified	Unclassified	0.372	1052	218.23	0	527185	103693	0	1922	66	55	88
B15	30	77.44	2) medium quality	80.79	0.67	100	Ruminococcaceae bacterium	species	0.868	Ruminococcaceae bacterium	species	0.868	3509	1.63	6.02	547	14620	1505	19	0	0	1
B15	42	94.27	2) medium quality	95.97	0.34	0	Eubacteriaceae	family	0.832	Eubacteriaceae	family	0.439	7067	2.02	15.38	377	31753	1825	19	0	0	0
B15	44	97.99	3) high quality Nayfach	97.99	0	0	Ruminococcus	genus	0.963	uncultured Ruminococcus sp.	species	0.627	10849	2.6	12.56	327	49222	2397	33	0	0	1
B15	5	33.97	1) low quality	34.17	0.04	0	Phascolarctobacterium	genus	0.706	Phascolarctobacterium faecium DSM 14760	strain	0.314	1483	0.62	4.05	409	5687	567	4	0	0	0
B15	57	96.9	3) high quality Nayfach	100	0.62	0	Sutterella wadsworthensis HGA0223	strain	0.96	Sutterella wadsworthensis HGA0223	strain	0.96	46041	2.87	15.51	100	137954	2339	51	1	0	0
B15	82	66.9	2) medium quality	77.5	2.12	0	Akkermansia muciniphila	species	0.711	Akkermansia muciniphila	species	0.711	2644	2.01	5.34	862	13636	2079	24	0	0	0
B15	bin.11	92.73	3) high quality Nayfach	97.38	0.93	75	Phocaeicola plebeius	species	0.994	Phocaeicola plebeius	species	0.994	72349	3.69	99.27	66	174945	3021	42	0	0	0
B15	bin.18	48.18	2) medium quality	96.13	9.59	44.74	Alistipes putredinis	species	0.82	Alistipes putredinis	species	0.82	27051	2.38	17.22	133	96517	2142	31	0	0	1
B15	bin.31	94.67	3) high quality Nayfach	99.52	0.97	0	Firmicutes	phylum	0.806	Lachnospiraceae bacterium	species	0.556	81477	3.13	75.01	57	276497	2837	42	0	1	0
B15	maxbin.004_sub	81.75	2) medium quality	89.3	1.51	27.27	Bacteroidales	order	0.801	Bacteroides sp. NMBE5	species	0.374	26169	4.42	35.1	266	114856	3712	42	1	0	0
B15	maxbin.005	97.01	3) high quality Nayfach	99.31	0.46	0	Enterobacter cloacae	species	0.849	Enterobacter cloacae	species	0.849	113414	4.8	35.94	128	278165	4496	62	0	0	1
B15	maxbin.007	80.72	3) high quality Nayfach	92.17	2.29	14.29	Roseburia	genus	0.724	Roseburia faecis	species	0.414	18892	2.47	25.82	247	92851	2184	32	0	0	0
B15	maxbin.009_sub	92.68	3) high quality Nayfach	94.23	0.31	20	Lachnospiraceae	family	0.693	Unclassified	Unclassified	0.32	17556	2.21	16.66	198	73471	1973	32	0	0	0
B15	maxbin.012_sub	-51.69	0) really bad	83.01	26.94	24.81	Bacteroidales	order	0.722	Bacteroides massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223	strain	0.283	10272	4.6	15.05	682	49140	3612	39	0	1	0
B15	unbinned	-22455.7	0) really bad	100	4511.14	3.43	Bacteria	superkingdom	0.661	Unclassified	Unclassified	0.116	1693	176.97	7.26	308228	114139	0	1384	40	42	61
B16	105	86.68	2) medium quality	93.03	1.27	0	Bacteria	superkingdom	0.862	Dialister sp.	species	0.621	3734	1.87	8.99	609	17468	1594	19	0	0	0
B16	23_sub	78.94	2) medium quality	81.89	0.59	50	Clostridiales bacterium UBA643	species	0.878	Clostridiales bacterium UBA643	species	0.878	3219	1.5	5.95	541	33376	1336	29	0	0	0
B16	38	89.84	2) medium quality	91.29	0.29	0	Succinatimonas	genus	0.792	Succinatimonas sp. UBA2849	species	0.482	5229	2.1	11.03	563	35187	1767	24	0	0	0
B16	59_sub	67.94	2) medium quality	79.24	2.26	16.67	Clostridiales bacterium	species	0.705	Unclassified	Unclassified	0.569	3808	1.89	6.83	596	17863	1818	20	0	0	0
B16	61_sub	79.63	2) medium quality	87.08	1.49	0	Clostridiales	order	0.673	Unclassified	Unclassified	0.338	15042	2.54	14.11	335	76796	2306	26	0	0	0
B16	62_sub	75.96	2) medium quality	78.76	0.56	0	Prevotellaceae	family	0.661	Prevotellaceae bacterium	species	0.388	4975	2.07	10.26	517	23075	1537	19	0	0	1
B16	71	98.32	3) high quality Nayfach	99.97	0.33	0	Escherichia coli	species	0.675	Escherichia coli	species	0.458	321168	4.81	78.97	31	517075	4471	61	0	0	0
B16	bin.17	85.6	3) high quality Nayfach	95.7	2.02	66.67	Christensenellaceae bacterium Phil1	species	0.968	Christensenellaceae bacterium Phil1	species	0.968	10589	1.8	12.03	208	32052	1684	40	0	0	0
B16	bin.2	69.01	2) medium quality	72.91	0.78	0	Ruminococcus sp. CAG:563	species	0.917	Ruminococcus sp. CAG:563	species	0.917	5810	1.55	7.69	289	19554	1363	10	0	0	1
B16	bin.27	84.24	2) medium quality	87.74	0.7	0	Clostridiales bacterium	species	0.979	Clostridiales bacterium	species	0.979	17718	1.32	21.21	106	45248	1178	22	0	0	0
B16	bin.29_sub	86.87	3) high quality Nayfach	91.22	0.87	0	uncultured bacterium	species	0.914	uncultured bacterium	species	0.914	19397	3.5	21.95	247	82505	2496	45	0	2	1
B16	bin.31	89.6	2) medium quality	89.6	0	0	CLASSIFICATION ERROR	CLASSIFICATION ERROR	0.947	Unclassified	Unclassified	0.947	15277	1.67	11.71	148	44720	1539	27	0	0	0
B16	bin.32	96.63	3) high quality Nayfach	96.63	0	0	Elusimicrobia bacterium UBA5880	species	0.696	Elusimicrobia bacterium UBA5880	species	0.696	60965	1.48	36.4	45	127519	1368	45	1	1	0
B16	bin.35	23.4	1) low quality	38.8	3.08	0	Clostridiales	order	0.697	Unclassified	Unclassified	0.352	3864	1.11	7.96	286	11848	1066	14	0	0	0
B16	bin.43	47.37	2) medium quality	81.77	6.88	50	uncultured Clostridiales bacterium	species	0.785	uncultured Clostridiales bacterium	species	0.785	8678	1.49	14.63	226	25077	1425	18	0	0	0
B16	bin.7	75.04	2) medium quality	77.74	0.54	50	Alphaproteobacteria bacterium UBA6334	species	0.882	Unclassified	Unclassified	0.559	31211	1.75	11.53	78	94403	1665	45	0	0	0
B16	maxbin.003	95.85	3) high quality Nayfach	95.85	0	0	Prevotella sp. CAG:873	species	0.901	Prevotella sp. CAG:873	species	0.901	52317	2.73	34.24	104	167223	2252	42	0	0	0
B16	maxbin.005	93.22	3) high quality Nayfach	94.92	0.34	50	Ruminococcaceae bacterium	species	0.979	Ruminococcaceae bacterium	species	0.979	19508	1.94	32.61	171	67949	1766	25	0	0	1
B16	maxbin.007	70.86	4) high quality Bowers	91.11	4.05	50	Bacteroidales	order	0.735	Unclassified	Unclassified	0.347	38597	3.81	26.71	262	120610	3017	58	3	18	4
B16	maxbin.014	96.63	3) high quality Nayfach	96.63	0	0	Firmicutes	phylum	0.692	uncultured Erysipelotrichaceae bacterium	species	0.512	25761	1.85	11.92	148	78938	1563	54	1	0	0
B16	unbinned	-35146.2	0) really bad	100	7049.24	3.63	Bacteria	superkingdom	0.662	Unclassified	Unclassified	0.327	1280	247.13	0	511624	80651	0	1926	50	59	90
B17	10_sub	52.08	2) medium quality	80.98	5.78	100	Faecalibacterium prausnitzii	species	0.842	Faecalibacterium prausnitzii SL3/3	strain	0.503	6635	2.29	18.12	468	34920	2135	43	0	0	0
B17	17_sub	87.47	3) high quality Nayfach	99.32	2.37	30	Prevotella copri DSM 18205	strain	0.864	Prevotella copri DSM 18205	strain	0.864	50845	3.87	87.59	122	143327	3242	48	0	0	1
B17	22_sub	30.95	1) low quality	31.6	0.13	0	Eubacteriaceae	family	0.692	Eubacteriaceae	family	0.516	1524	0.62	4.89	393	5230	501	0	0	0	0
B17	27_sub	53.9	2) medium quality	53.9	0	0	Clostridiales bacterium	species	0.959	Clostridiales bacterium	species	0.959	2070	0.94	6.26	483	8229	901	12	0	0	0
B17	40	82.08	2) medium quality	90.58	1.7	25	Clostridium sp. CAG:138	species	0.974	Clostridium sp. CAG:138	species	0.974	8734	1.86	9.37	297	31202	1618	30	0	0	0
B17	46	86.06	2) medium quality	90.31	0.85	0	uncultured bacterium	species	0.691	uncultured bacterium	species	0.691	9014	1.88	13.05	305	34322	1686	26	0	0	0
B17	5_sub	63.67	2) medium quality	83.82	4.03	60	Bacteria	superkingdom	0.662	Unclassified	Unclassified	0.385	3520	2	8.56	702	23677	1574	12	0	0	0
B17	52	26.09	1) low quality	29.84	0.75	25	Life	life	0.667	Unclassified	Unclassified	0.341	2379	0.64	5.23	302	24357	434	5	0	0	0
B17	54	54.85	2) medium quality	65.3	2.09	0	Bacteroidales	order	0.69	Unclassified	Unclassified	0.366	2209	2.29	5.91	1106	10422	2083	16	0	0	0
B17	61	61.13	2) medium quality	64.48	0.67	100	Clostridia	class	0.689	Unclassified	Unclassified	0.482	3815	1.46	7.74	467	13644	1394	18	0	0	1
B17	8	86.06	2) medium quality	94.46	1.68	33.33	Ruminococcus champanellensis 18P13 = JCM 17042	strain	0.957	Ruminococcus champanellensis 18P13 = JCM 17042	strain	0.957	8487	2.02	8.63	358	30642	1839	20	0	0	0
B17	bin.12	97.99	3) high quality Nayfach	97.99	0	0	uncultured Ruminococcus sp.	species	0.77	uncultured Ruminococcus sp.	species	0.77	42347	2.62	23.78	101	161264	2454	33	0	0	0
B17	bin.15	83.84	2) medium quality	87.19	0.67	0	Oscillibacter sp.	species	0.875	Oscillibacter sp.	species	0.875	35397	2.32	27.27	125	96984	2243	29	0	0	1
B17	bin.16	58.46	2) medium quality	75.81	3.47	0	Clostridiales	order	0.666	Unclassified	Unclassified	0.291	9583	1.7	8.34	229	35909	1565	18	1	1	1
B17	bin.26	97.27	3) high quality Nayfach	97.27	0	0	Ruminococcaceae bacterium	species	1	Ruminococcaceae bacterium	species	1	58673	2.22	25.46	54	115236	1979	48	0	0	2
B17	bin.32	87.38	2) medium quality	87.38	0	0	CLASSIFICATION ERROR	CLASSIFICATION ERROR	0.964	Unclassified	Unclassified	0.964	11449	1.65	12.94	181	41206	1495	25	0	0	0
B17	bin.33	28.22	2) medium quality	69.87	8.33	0	uncultured Clostridiales bacterium	species	0.732	uncultured Clostridiales bacterium	species	0.732	4727	1.16	11.66	249	18732	1071	11	0	0	0
B17	maxbin.001	97.93	3) high quality Nayfach	99.38	0.29	0	Succinatimonas	genus	0.968	Succinatimonas sp. CAG:777	species	0.494	147587	2.42	140.43	48	343761	2075	52	1	1	0
B17	maxbin.004_sub	84.79	2) medium quality	84.79	0	0	CLASSIFICATION ERROR	CLASSIFICATION ERROR	0.914	Unclassified	Unclassified	0.914	103379	1.67	47.18	39	226363	1374	41	2	1	1
B17	maxbin.010	84.84	3) high quality Nayfach	95.49	2.13	0	Firmicutes bacterium CAG:534	species	0.963	Firmicutes bacterium CAG:534	species	0.963	33516	2.64	12.11	175	120869	2444	34	0	0	0
B17	maxbin.014	72.68	2) medium quality	92.23	3.91	0	Life	life	0.67	Unclassified	Unclassified	0.242	7537	2.3	9.25	511	37817	2045	30	1	0	1
B17	maxbin.026_sub	64.39	2) medium quality	70.09	1.14	0	Bacteria	superkingdom	0.679	Unclassified	Unclassified	0.512	3295	1.89	7.69	697	19849	1521	13	0	0	1
B17	unbinned	-28919	0) really bad	100	5803.8	2.66	Bacteria	superkingdom	0.66	Unclassified	Unclassified	0.281	1153	198.65	0	435254	132710	0	1631	53	64	74
B18	100	77	2) medium quality	85.5	1.7	20	Bacteroidales bacterium	species	0.902	Bacteroidales bacterium	species	0.902	4100	2.78	7.1	819	13958	2425	28	0	0	0
B18	22_sub	73.42	2) medium quality	80.12	1.34	50	CLASSIFICATION ERROR	CLASSIFICATION ERROR	0.941	Unclassified	Unclassified	0.941	3163	1.44	6.31	539	11799	1287	11	0	0	1
B18	52	97.27	4) high quality Bowers	97.27	0	0	Ruminococcaceae bacterium	species	0.998	Ruminococcaceae bacterium	species	0.998	167587	2.23	43.92	27	465998	2000	42	1	1	1
B18	72	25	0) really bad	79.35	10.87	0	Bifidobacterium adolescentis	species	0.749	Bifidobacterium adolescentis	species	0.749	3255	1.94	6.69	701	16815	1847	41	0	0	0
B18	74_sub	-229.28	0) really bad	96.72	65.2	3.39	Ruminococcaceae bacterium	species	0.757	Ruminococcaceae bacterium	species	0.491	5232	4.11	9.21	882	45741	3668	47	0	0	0
B18	84	97.52	3) high quality Nayfach	97.52	0	0	Bacteroidales	order	0.989	Bacteroidales bacterium H9	species	0.594	27587	2.42	13.98	130	108000	2029	43	1	0	0
B18	86	34.31	1) low quality	39.06	0.95	0	Bacteria	superkingdom	0.665	Unclassified	Unclassified	0.266	1612	0.61	4.36	376	4562	497	3	0	0	0
B18	94	94.05	3) high quality Nayfach	97.75	0.74	50	Prevotella stercorea	species	0.821	Prevotella stercorea	species	0.821	27790	2.57	23	136	84806	2057	38	0	0	0
B18	97	53.79	2) medium quality	60.49	1.34	0	Ruminococcus	genus	0.921	uncultured Ruminococcus sp.	species	0.515	1946	1.55	5.48	823	8510	1615	10	0	0	0
B18	99	86.55	2) medium quality	92.15	1.12	50	uncultured Prevotellaceae bacterium	species	0.752	Unclassified	Unclassified	0.574	8780	2.95	10.64	454	57715	2201	28	0	0	0
B18	bin.14	74.64	2) medium quality	87.84	2.64	0	Bacteroidales bacterium 55_9	species	0.776	Bacteroidales bacterium 55_9	species	0.655	9262	2.14	9.42	278	41895	1733	24	0	0	1
B18	bin.25	88.33	3) high quality Nayfach	95.48	1.43	0	Bacteroides sp. CAG:709	species	0.833	Unclassified	Unclassified	0.564	104857	2.8	64.65	42	299033	2186	43	0	0	0
B18	bin.29	84.88	2) medium quality	86.58	0.34	0	Ruminococcaceae bacterium	species	0.834	Ruminococcaceae bacterium	species	0.834	7385	1.49	11.36	238	21861	1345	21	0	0	1
B18	bin.32_sub	66.48	2) medium quality	70.23	0.75	0	Ruminococcaceae	family	0.678	Unclassified	Unclassified	0.513	10904	1.8	9.76	217	44460	1597	22	0	0	0
B18	bin.37	86.45	3) high quality Nayfach	98.55	2.42	40	Firmicutes	phylum	0.75	Lachnospiraceae bacterium	species	0.571	60741	3.04	30.21	78	156953	2725	52	0	0	0
B18	bin.49	92.75	3) high quality Nayfach	98.6	1.17	0	Clostridiales bacterium	species	0.968	Clostridiales bacterium	species	0.968	68512	2.96	28.61	71	189219	2504	45	0	0	1
B18	bin.5	97.34	3) high quality Nayfach	98.79	0.29	0	Succinatimonas	genus	0.917	Succinatimonas sp. UBA2849	species	0.542	17164	2.23	13.09	193	62461	1891	34	0	0	0
B18	bin.50	75.65	2) medium quality	88.05	2.48	12.5	Ruminococcaceae bacterium	species	0.715	Ruminococcaceae bacterium	species	0.715	8314	1.57	9.27	223	37751	1379	17	0	0	0
B18	bin.6	80.78	2) medium quality	86.28	1.1	50	Sutterella	genus	0.813	Sutterella sp. UBA4713	species	0.66	9730	1.42	8.06	186	28997	1266	27	0	0	0
B18	maxbin.003_sub	98.99	4) high quality Bowers	98.99	0	0	[Eubacterium] siraeum V10Sc8a	strain	0.716	[Eubacterium] siraeum V10Sc8a	strain	0.716	55399	3.29	31.79	143	376716	2950	41	3	3	1
B18	maxbin.006_sub	94.94	3) high quality Nayfach	96.64	0.34	0	Ruminococcaceae bacterium	species	0.816	Ruminococcaceae bacterium	species	0.816	73826	1.95	29.53	59	183440	1825	49	0	1	2
B18	maxbin.009	83.22	3) high quality Nayfach	93.27	2.01	0	Clostridium sp. CAG:138	species	0.959	Clostridium sp. CAG:138	species	0.959	73224	2.05	22.1	81	147658	1820	49	0	1	1
B18	maxbin.021_sub	4.25	1) low quality	4.25	0	0	Bacteria	superkingdom	0.69	Unclassified	Unclassified	0.196	2697	0.36	9.44	150	55714	377	5	0	0	0
B18	maxbin.022	-11.76	0) really bad	88.29	20.01	4.17	Clostridiales	order	0.741	Clostridiales bacterium	species	0.238	7777	2.77	10.42	593	36051	2334	27	1	1	1
B18	unbinned	-40979.9	0) really bad	100	8215.98	2.67	Bacteria	superkingdom	0.663	Unclassified	Unclassified	0.331	1265	271.54	0	560471	110759	0	2374	76	76	114
B2	0	65.76	2) medium quality	65.76	0	0	Firmicutes	phylum	0.671	Clostridiales bacterium	species	0.156	17351	0.98	20.42	97	51483	807	31	1	1	1
B2	1	43.98	2) medium quality	50.68	1.34	0	Eubacterium sp. CAG:251	species	0.725	Eubacterium sp. CAG:251	species	0.725	1692	0.84	5.03	498	7898	620	2	0	0	0
B2	17	83.85	2) medium quality	91.4	1.51	33.33	Clostridium sp. CAG:138	species	0.974	Clostridium sp. CAG:138	species	0.974	8330	1.87	9.38	320	41381	1681	30	0	0	0
B2	27	80.24	3) high quality Nayfach	92.34	2.42	0	Bacteria	superkingdom	0.67	Clostridiales bacterium	species	0.39	16673	2.31	16.31	237	56768	1829	36	0	0	0
B2	29	33.29	2) medium quality	60.74	5.49	0	Clostridiales bacterium	species	0.707	Unclassified	Unclassified	0.609	1999	1.68	5.99	907	6605	1713	10	0	0	0
B2	30	35.66	1) low quality	40.41	0.95	0	uncultured bacterium	species	0.853	uncultured bacterium	species	0.853	1762	0.82	5.06	470	28605	713	6	0	0	0
B2	41	49.63	1) low quality	49.63	0	0	Clostridiales	order	0.668	Unclassified	Unclassified	0.523	2275	1.09	5.64	528	14949	1086	20	0	0	1
B2	47_sub	93.27	3) high quality Nayfach	94.97	0.34	100	Ruminococcus	genus	0.914	uncultured Ruminococcus sp.	species	0.521	10973	2.77	12.37	331	59026	2597	40	0	0	1
B2	49	79.29	2) medium quality	82.49	0.64	33.33	uncultured Ruminococcus sp.	species	0.791	Unclassified	Unclassified	0.408	3437	1.86	7.7	648	13898	1630	20	0	0	0
B2	5	97.55	3) high quality Nayfach	97.55	0	0	Bacteroidales	order	0.991	Bacteroidales bacterium H8	species	0.54	62911	2.48	26.11	66	250746	2056	44	0	0	0
